"Date","Year","X_coord","Y_coord","Year_f","week","month"
1990-01-17,1990,304828.976,4842905.069,"1990",1990-01-14,1990-01-01
1990-01-17,1990,304128.307,4834027.068,"1990",1990-01-14,1990-01-01
1990-01-17,1990,311242.8,4844513.301,"1990",1990-01-14,1990-01-01
1990-01-18,1990,307902.434,4843157.789,"1990",1990-01-14,1990-01-01
1990-01-18,1990,328918.724,4845760.355,"1990",1990-01-14,1990-01-01
1990-01-18,1990,312740.981,4845783.369,"1990",1990-01-14,1990-01-01
1990-01-18,1990,314062.171,4844377.501,"1990",1990-01-14,1990-01-01
1990-01-18,1990,306180.08,4840015.802,"1990",1990-01-14,1990-01-01
1990-01-18,1990,320626.176,4847029.108,"1990",1990-01-14,1990-01-01
1990-01-18,1990,309579.64,4842861.601,"1990",1990-01-14,1990-01-01
1990-01-18,1990,306295.176,4840004.027,"1990",1990-01-14,1990-01-01
1990-01-18,1990,331039.91,4846645.581,"1990",1990-01-14,1990-01-01
1990-01-19,1990,310266.069,4841492.152,"1990",1990-01-14,1990-01-01
1990-01-19,1990,302145.549,4842059.037,"1990",1990-01-14,1990-01-01
1990-01-19,1990,302921.619,4839700.042,"1990",1990-01-14,1990-01-01
1990-01-19,1990,310764.617,4841543.225,"1990",1990-01-14,1990-01-01
1990-01-19,1990,311342.781,4849967.054,"1990",1990-01-14,1990-01-01
1990-01-19,1990,309873.149,4849130.896,"1990",1990-01-14,1990-01-01
1990-01-19,1990,324188.013,4842345.459,"1990",1990-01-14,1990-01-01
1990-01-19,1990,319563.222,4842693.364,"1990",1990-01-14,1990-01-01
1990-01-19,1990,301024.191,4844652.843,"1990",1990-01-14,1990-01-01
1990-01-20,1990,302823.948,4839419.641,"1990",1990-01-14,1990-01-01
1990-01-20,1990,305551.247,4831923.661,"1990",1990-01-14,1990-01-01
1990-01-20,1990,314230.44,4848240.2,"1990",1990-01-14,1990-01-01
1990-01-20,1990,299397.134,4835527.316,"1990",1990-01-14,1990-01-01
1990-01-20,1990,323216.853,4843324.885,"1990",1990-01-14,1990-01-01
1990-01-21,1990,299099.554,4833823.913,"1990",1990-01-21,1990-01-01
1990-01-21,1990,308398.953,4835496.309,"1990",1990-01-21,1990-01-01
1990-01-21,1990,320700.367,4845023.567,"1990",1990-01-21,1990-01-01
1990-01-22,1990,301138.07,4836945.697,"1990",1990-01-21,1990-01-01
1990-01-22,1990,316358.781,4848770.783,"1990",1990-01-21,1990-01-01
1990-01-22,1990,300892.136,4838831.384,"1990",1990-01-21,1990-01-01
1990-01-22,1990,302765.096,4839125.601,"1990",1990-01-21,1990-01-01
1990-01-22,1990,308730.822,4849717.34,"1990",1990-01-21,1990-01-01
1990-01-22,1990,300936.681,4834976.643,"1990",1990-01-21,1990-01-01
1990-01-23,1990,323875.733,4843224.355,"1990",1990-01-21,1990-01-01
1990-01-23,1990,315416.814,4845747.907,"1990",1990-01-21,1990-01-01
1990-01-23,1990,309945.379,4846980.133,"1990",1990-01-21,1990-01-01
1990-01-23,1990,303402.595,4840722.631,"1990",1990-01-21,1990-01-01
1990-01-23,1990,325544.507,4842549.297,"1990",1990-01-21,1990-01-01
1990-01-23,1990,324603.29,4843919.027,"1990",1990-01-21,1990-01-01
1990-01-23,1990,320866.307,4845372.307,"1990",1990-01-21,1990-01-01
1990-01-23,1990,328437.372,4844420.632,"1990",1990-01-21,1990-01-01
1990-01-23,1990,299285.799,4836797.199,"1990",1990-01-21,1990-01-01
1990-01-23,1990,314785.343,4834190.598,"1990",1990-01-21,1990-01-01
1990-01-24,1990,301736.011,4838564.255,"1990",1990-01-21,1990-01-01
1990-01-24,1990,323885.771,4842502.133,"1990",1990-01-21,1990-01-01
1990-01-24,1990,311300.744,4849286.671,"1990",1990-01-21,1990-01-01
1990-01-24,1990,325379.713,4845678.995,"1990",1990-01-21,1990-01-01
1990-01-25,1990,299500,4845812.574,"1990",1990-01-21,1990-01-01
1990-01-25,1990,313080.695,4844143.259,"1990",1990-01-21,1990-01-01
1990-01-25,1990,314328.24,4849879.3,"1990",1990-01-21,1990-01-01
1990-01-25,1990,302289.727,4835220.002,"1990",1990-01-21,1990-01-01
1990-01-25,1990,301138.737,4835254.636,"1990",1990-01-21,1990-01-01
1990-01-26,1990,300768.999,4834570.279,"1990",1990-01-21,1990-01-01
1990-01-26,1990,320792.936,4840342.454,"1990",1990-01-21,1990-01-01
1990-01-26,1990,299365.254,4846118.355,"1990",1990-01-21,1990-01-01
1990-01-26,1990,299917.578,4834824.266,"1990",1990-01-21,1990-01-01
1990-01-26,1990,315938.622,4850635.091,"1990",1990-01-21,1990-01-01
1990-01-26,1990,305614.736,4838330.328,"1990",1990-01-21,1990-01-01
1990-01-26,1990,308845.654,4840336.059,"1990",1990-01-21,1990-01-01
1990-01-27,1990,298463.439,4834700.003,"1990",1990-01-21,1990-01-01
1990-01-27,1990,308153.807,4847168.839,"1990",1990-01-21,1990-01-01
1990-01-27,1990,310448.118,4836632.768,"1990",1990-01-21,1990-01-01
1990-01-27,1990,322746.631,4845928.602,"1990",1990-01-21,1990-01-01
1990-01-27,1990,310414.258,4849735.837,"1990",1990-01-21,1990-01-01
1990-01-27,1990,306438.647,4839005.963,"1990",1990-01-21,1990-01-01
1990-01-28,1990,319800.643,4851321.203,"1990",1990-01-28,1990-01-01
1990-01-28,1990,319347.65,4847659.494,"1990",1990-01-28,1990-01-01
1990-01-28,1990,301627.633,4844736.331,"1990",1990-01-28,1990-01-01
1990-01-28,1990,301023.499,4832645.04,"1990",1990-01-28,1990-01-01
1990-01-28,1990,303926.447,4837610.33,"1990",1990-01-28,1990-01-01
1990-01-28,1990,310189.637,4849877.112,"1990",1990-01-28,1990-01-01
1990-01-28,1990,319330.118,4850466.745,"1990",1990-01-28,1990-01-01
1990-01-28,1990,310254.846,4832336.654,"1990",1990-01-28,1990-01-01
1990-01-28,1990,321082.551,4840666.295,"1990",1990-01-28,1990-01-01
1990-01-28,1990,319193.321,4847708.243,"1990",1990-01-28,1990-01-01
1990-01-29,1990,301509.225,4837923.081,"1990",1990-01-28,1990-01-01
1990-01-29,1990,299124.19,4840733.326,"1990",1990-01-28,1990-01-01
1990-01-29,1990,299928.555,4845070.812,"1990",1990-01-28,1990-01-01
1990-01-29,1990,324291.898,4846239.201,"1990",1990-01-28,1990-01-01
1990-01-29,1990,300743.161,4833224.889,"1990",1990-01-28,1990-01-01
1990-01-29,1990,300581.083,4833720.573,"1990",1990-01-28,1990-01-01
1990-01-30,1990,317188,4843198.74,"1990",1990-01-28,1990-01-01
1990-01-30,1990,322235.946,4851481.683,"1990",1990-01-28,1990-01-01
1990-01-30,1990,298330.743,4833286.054,"1990",1990-01-28,1990-01-01
1990-01-30,1990,305304.674,4843561.619,"1990",1990-01-28,1990-01-01
1990-01-30,1990,309372.177,4845970.862,"1990",1990-01-28,1990-01-01
1990-01-30,1990,306334.957,4838964.437,"1990",1990-01-28,1990-01-01
1990-01-31,1990,315530.077,4844297.827,"1990",1990-01-28,1990-01-01
1990-01-31,1990,330163.656,4845923.831,"1990",1990-01-28,1990-01-01
1990-01-31,1990,314817.759,4848404.519,"1990",1990-01-28,1990-01-01
1990-01-31,1990,308423.633,4849523.02,"1990",1990-01-28,1990-01-01
1990-01-31,1990,297562.236,4841542.991,"1990",1990-01-28,1990-01-01
1990-01-31,1990,313333.293,4848957.627,"1990",1990-01-28,1990-01-01
1990-01-31,1990,322018.373,4846088.066,"1990",1990-01-28,1990-01-01
1990-01-31,1990,319368.891,4847666.311,"1990",1990-01-28,1990-01-01
1990-01-31,1990,306431.529,4839080.649,"1990",1990-01-28,1990-01-01
1990-01-31,1990,320985.325,4851475.832,"1990",1990-01-28,1990-01-01
1990-02-01,1990,312355.308,4847678.914,"1990",1990-01-28,1990-02-01
1990-02-01,1990,322936.455,4843860.577,"1990",1990-01-28,1990-02-01
1990-02-01,1990,306484.676,4841455.698,"1990",1990-01-28,1990-02-01
1990-02-01,1990,326924.706,4847512.902,"1990",1990-01-28,1990-02-01
1990-02-01,1990,319536.529,4838603.042,"1990",1990-01-28,1990-02-01
1990-02-01,1990,300386.579,4832582.423,"1990",1990-01-28,1990-02-01
1990-02-01,1990,321161.286,4850238.072,"1990",1990-01-28,1990-02-01
1990-02-01,1990,299830.892,4842585.835,"1990",1990-01-28,1990-02-01
1990-02-01,1990,323367.55,4843372.891,"1990",1990-01-28,1990-02-01
1990-02-01,1990,307491.145,4837634.178,"1990",1990-01-28,1990-02-01
1990-02-02,1990,325325.37,4840485.265,"1990",1990-01-28,1990-02-01
1990-02-02,1990,320926.277,4848542.357,"1990",1990-01-28,1990-02-01
1990-02-02,1990,315598.364,4841563.176,"1990",1990-01-28,1990-02-01
